time,t2m_degC,u10_ms,v10_ms,wind_speed10m_ms
2024-01-10 06:00:00,2.651764,-5.237976,-1.3462982,5.4082265
2024-01-10 07:00:00,3.0135803,-5.06546,-1.3554993,5.243688
2024-01-10 08:00:00,3.3475647,-4.7264404,-1.5519867,4.974726
2024-01-10 09:00:00,3.3939514,-4.484131,-1.7695465,4.820656
2024-01-10 10:00:00,4.4823303,-4.518387,-2.0480347,4.9608736
2024-01-10 11:00:00,5.1559143,-4.2263184,-2.0886383,4.7142525
2024-01-10 12:00:00,5.6288147,-3.6813202,-2.1778564,4.277286
2024-01-10 13:00:00,5.921051,-3.9595947,-2.580597,4.726296
2024-01-10 14:00:00,5.9654846,-3.986908,-2.9187775,4.941123
2024-01-10 15:00:00,5.902252,-3.7447205,-3.0242157,4.8133993
2024-01-10 16:00:00,5.691803,-3.6053467,-3.2576752,4.8591123
2024-01-10 17:00:00,5.830719,-3.4360962,-3.2928467,4.759159
2024-01-10 18:00:00,5.7799377,-3.266571,-3.2518768,4.6092505
2024-01-10 19:00:00,6.061676,-3.2100372,-3.2559967,4.572292
2024-01-10 20:00:00,6.2447815,-3.4268494,-3.3357544,4.7823167
2024-01-10 21:00:00,6.3382874,-3.63945,-3.3617554,4.9544926
2024-01-10 22:00:00,5.8919983,-3.47258,-3.162735,4.6969886
2024-01-10 23:00:00,6.087311,-3.5366669,-3.179596,4.755822
2024-01-11 00:00:00,6.181061,-3.9283142,-3.0577698,4.978113
2024-01-11 01:00:00,6.2149963,-4.1431885,-2.7131195,4.952477
2024-01-11 02:00:00,6.0748596,-4.2089996,-2.4230347,4.8566217
2024-01-11 03:00:00,6.195465,-4.303589,-2.1505127,4.8109856
2024-01-11 04:00:00,6.230377,-4.219528,-1.9410248,4.644566
2024-01-11 05:00:00,6.238678,-4.2168274,-1.861908,4.6095915
2024-01-11 06:00:00,6.1441956,-4.0148315,-1.7699738,4.3876734
2024-01-11 07:00:00,6.2064514,-3.8922424,-1.7017822,4.248013
2024-01-11 08:00:00,6.2364807,-3.9729462,-1.6237793,4.2919645
2024-01-11 09:00:00,6.275055,-3.8762512,-1.2689056,4.078657
2024-01-11 10:00:00,6.268219,-3.520584,-1.41539,3.7944486
2024-01-11 11:00:00,6.571686,-3.4065704,-1.6120758,3.7687545
2024-01-11 12:00:00,6.6127014,-3.9109802,-2.0132294,4.3987336
2024-01-11 13:00:00,6.689728,-3.3136902,-2.1807098,3.9668674
2024-01-11 14:00:00,6.688263,-3.1584625,-2.5725708,4.073574
2024-01-11 15:00:00,6.5611877,-2.6957092,-2.619629,3.7588966
2024-01-11 16:00:00,6.528961,-2.6312408,-2.7196045,3.7841349
2024-01-11 17:00:00,6.3297424,-2.6793365,-2.6886444,3.7957416
2024-01-11 18:00:00,6.3993225,-2.7693024,-2.5409546,3.7583888
2024-01-11 19:00:00,6.443756,-2.7574463,-2.3837738,3.6449811
2024-01-11 20:00:00,6.490387,-2.487381,-2.4086456,3.4624612
2024-01-11 21:00:00,6.448639,-2.31987,-2.403122,3.3401785
2024-01-11 22:00:00,5.863922,-1.714035,-2.0959167,2.707542
2024-01-11 23:00:00,5.9222717,-1.3209839,-1.900589,2.3145707
2024-01-12 00:00:00,5.927643,-1.01091,-1.9932404,2.2349377
2024-01-12 01:00:00,5.741852,-0.97247314,-2.381836,2.572712
2024-01-12 02:00:00,5.4527893,-1.1137085,-2.4966278,2.73377
2024-01-12 03:00:00,5.4083557,-1.3218079,-2.289154,2.6433694
2024-01-12 04:00:00,5.247467,-1.2456207,-2.0494385,2.3982847
2024-01-12 05:00:00,5.023102,-1.043808,-1.9964905,2.2528892
2024-01-12 06:00:00,5.0155334,-0.9091034,-1.9977417,2.194867
2024-01-12 07:00:00,4.936676,-1.0278168,-2.0429993,2.286975
2024-01-12 08:00:00,4.988434,-1.0846863,-1.9663544,2.2456834
2024-01-12 09:00:00,4.8128967,-0.9332428,-1.7757721,2.006068
2024-01-12 10:00:00,4.480377,-1.5169373,-2.5720978,2.9860988
2024-01-12 11:00:00,4.3805237,-1.1130524,-1.9716644,2.2641435
2024-01-12 12:00:00,4.5482483,-0.93989563,-1.5733337,1.8326982
2024-01-12 13:00:00,4.4615784,-0.7056122,-1.4445648,1.6076865
2024-01-12 14:00:00,4.3229065,-0.3725891,-1.4262085,1.4740736
2024-01-12 15:00:00,4.255768,0.13298035,-1.5930786,1.5986192
2024-01-12 16:00:00,4.1564026,0.565094,-1.9212494,2.002631
2024-01-12 17:00:00,4.0941467,0.77511597,-2.4253998,2.546246
2024-01-12 18:00:00,3.796051,0.78326416,-2.509552,2.6289454
2024-01-12 19:00:00,3.5675354,0.8764038,-2.1715546,2.341737
2024-01-12 20:00:00,3.2394104,1.1632538,-2.114334,2.413207
2024-01-12 21:00:00,2.837799,1.46521,-2.4798126,2.8803318
2024-01-12 22:00:00,1.6437073,1.6375122,-2.6747742,3.136218
2024-01-12 23:00:00,1.3836975,1.7480316,-1.6156616,2.3803313
2024-01-13 00:00:00,1.1422424,1.9572296,-0.5814972,2.0417852
2024-01-13 01:00:00,1.1075745,2.0901337,-0.5817871,2.1695933
2024-01-13 02:00:00,1.0277405,2.1984863,-0.96990967,2.4029288
2024-01-13 03:00:00,0.7401428,2.1995697,-1.1759644,2.494193
2024-01-13 04:00:00,0.76651,2.2125397,-1.1167755,2.4784107
2024-01-13 05:00:00,0.72817993,2.3202057,-0.74406433,2.4365933
2024-01-13 06:00:00,0.7377014,2.2993774,-0.6383209,2.386334
2024-01-13 07:00:00,0.875885,2.3039856,-0.4342804,2.3445573
2024-01-13 08:00:00,1.2096252,2.34169,-0.4648285,2.387379
2024-01-13 09:00:00,1.6529846,2.3535156,-0.5554962,2.4181836
2024-01-13 10:00:00,1.8995667,2.4089355,-0.7073822,2.5106492
2024-01-13 11:00:00,2.817047,2.297287,-0.5400238,2.3599052
2024-01-13 12:00:00,3.603424,2.227295,-0.3502655,2.2546682
2024-01-13 13:00:00,4.245636,2.3182678,-0.21263123,2.3279986
2024-01-13 14:00:00,4.476837,2.3621216,-0.4262085,2.400265
2024-01-13 15:00:00,4.6752014,2.3184662,-0.76031494,2.4399517
2024-01-13 16:00:00,4.629547,2.168396,-0.9203949,2.355646
2024-01-13 17:00:00,4.474518,2.0942535,-1.1164551,2.3732615
2024-01-13 18:00:00,4.3746643,1.8409424,-1.5558777,2.4103577
2024-01-13 19:00:00,4.4391174,1.6090393,-1.7144928,2.3512747
2024-01-13 20:00:00,4.275543,1.5922394,-1.5082245,2.1931639
2024-01-13 21:00:00,3.9457092,1.7410278,-1.5563965,2.3352833
2024-01-13 22:00:00,3.7484436,1.5896149,-1.8378296,2.4299164
2024-01-13 23:00:00,3.464264,1.753418,-2.146988,2.7720087
2024-01-14 00:00:00,3.1280823,1.8648071,-1.8314514,2.613756
2024-01-14 01:00:00,2.7779846,2.0034027,-1.4150238,2.4527361
2024-01-14 02:00:00,2.3885803,2.2327728,-1.4431915,2.6585853
2024-01-14 03:00:00,2.1549377,2.3677826,-1.2683563,2.6860979
2024-01-14 04:00:00,1.7835999,2.547989,-1.187149,2.8109732
2024-01-14 05:00:00,1.8146057,2.7493591,-1.1751251,2.9899657
2024-01-14 06:00:00,1.4159241,2.7720032,-1.0983429,2.9816704
2024-01-14 07:00:00,1.1695862,2.871704,-1.1537933,3.094822
2024-01-14 08:00:00,1.0367737,2.9642487,-1.4008179,3.278576
2024-01-14 09:00:00,1.1852112,2.922058,-1.8144379,3.4395652
2024-01-14 10:00:00,1.927887,2.6963806,-2.511322,3.6847262
2024-01-14 11:00:00,2.933258,2.2829132,-3.0282745,3.7923791
2024-01-14 12:00:00,3.8297424,2.1425018,-3.089798,3.759942
2024-01-14 13:00:00,4.483795,2.2976837,-3.8064575,4.4461746
2024-01-14 14:00:00,4.7586975,2.4498596,-4.04805,4.731651
2024-01-14 15:00:00,4.5887756,2.6246185,-3.7970734,4.6158843
2024-01-14 16:00:00,4.0829163,2.687561,-3.843338,4.6898007
2024-01-14 17:00:00,3.525299,2.5600739,-4.0749817,4.812427
2024-01-14 18:00:00,3.26651,2.5521545,-4.1433716,4.866315
2024-01-14 19:00:00,2.983551,2.5685577,-4.3594055,5.0598326
2024-01-14 20:00:00,2.561432,2.6607819,-4.34079,5.0913863
2024-01-14 21:00:00,1.8229065,2.8556366,-4.0937195,4.9913125
2024-01-14 22:00:00,1.6429749,2.8046265,-4.268158,5.107162
2024-01-14 23:00:00,1.2506409,3.092636,-3.9970856,5.0538197
2024-01-15 00:00:00,0.7843323,3.2111664,-3.6352386,4.8504176
2024-01-15 01:00:00,0.5279846,3.2288818,-3.792694,4.9809847
2024-01-15 02:00:00,0.39834595,3.1557922,-3.8276978,4.9608765
2024-01-15 03:00:00,0.42276,3.1131134,-4.1974335,5.2258897
2024-01-15 04:00:00,-0.047943115,2.913681,-4.3749695,5.2564144
2024-01-15 05:00:00,-0.21932983,2.8697662,-4.234314,5.115171
2024-01-15 06:00:00,-0.4275818,2.746704,-4.1855927,5.006353
2024-01-15 07:00:00,-0.6429138,2.786789,-4.0315704,4.9009953
2024-01-15 08:00:00,-0.7166443,2.7438202,-3.9373016,4.7990513
2024-01-15 09:00:00,-0.90267944,2.7181854,-3.7428741,4.625758
2024-01-15 10:00:00,0.010650635,2.5129242,-3.3675385,4.2017975
2024-01-15 11:00:00,0.56777954,2.4952087,-3.2289734,4.0807276
2024-01-15 12:00:00,1.424469,2.6627197,-3.480133,4.3819404
2024-01-15 13:00:00,2.0404358,2.6822662,-3.3053741,4.2567654
2024-01-15 14:00:00,2.285553,2.7792664,-3.0527954,4.1284237
2024-01-15 15:00:00,2.2311096,2.9105072,-2.6490936,3.9355748
2024-01-15 16:00:00,1.8531799,3.0549927,-2.1964417,3.7626235
2024-01-15 17:00:00,1.0572815,3.2605743,-1.8873749,3.76743
2024-01-15 18:00:00,0.25894165,3.3753967,-1.7622375,3.8077269
2024-01-15 19:00:00,0.22012329,3.27034,-1.4474487,3.5763433
2024-01-15 20:00:00,-0.3675232,3.195404,-0.9087982,3.3221262
2024-01-15 21:00:00,-0.47177124,3.2166595,-0.41429138,3.2432294
2024-01-15 22:00:00,-0.2918396,2.9721375,-0.25123596,2.982737
2024-01-15 23:00:00,-0.39974976,3.1321716,-0.16355896,3.136439
2024-01-16 00:00:00,-0.46298218,3.1532135,0.10643005,3.1550093
2024-01-16 01:00:00,-0.38656616,3.0835419,0.34373474,3.1026413
2024-01-16 02:00:00,-0.47885132,3.1008148,0.29711914,3.1150172
2024-01-16 03:00:00,-0.70614624,3.0846558,0.5295105,3.1297736
2024-01-16 04:00:00,-0.59994507,3.0033264,1.1520233,3.216695
2024-01-16 05:00:00,-0.5569763,3.1084595,1.6322937,3.510969
2024-01-16 06:00:00,-0.44613647,3.332489,2.078186,3.9273834
2024-01-16 07:00:00,-0.017669678,3.692337,2.4802856,4.4480524
2024-01-16 08:00:00,0.27139282,4.4186554,2.836197,5.250574
2024-01-16 09:00:00,0.2970276,5.1284485,2.9538116,5.9182754
2024-01-16 10:00:00,0.9142151,4.3523407,2.8896027,5.224239
2024-01-16 11:00:00,1.7003479,4.3164825,3.0327759,5.275391
2024-01-16 12:00:00,2.7357483,4.128845,2.7401123,4.9553585
2024-01-16 13:00:00,3.2667542,4.3315125,2.9537811,5.242788
2024-01-16 14:00:00,3.45401,4.5393677,3.1197357,5.5080495
2024-01-16 15:00:00,3.3927307,5.1615143,2.909378,5.925007
2024-01-16 16:00:00,3.0919495,4.9320526,2.8771973,5.7099395
